
SPAGeDi 1.5d (build 02-06-2017) - a program for Spatial Pattern Analysis of Genetic Diversity
               Written by Olivier Hardy & Xavier Vekemans
               Contributions by Reed Cartwright

Input file : "../data/ah1-c3.spagedi.txt"
Results file : "../data/ah1-c3.spagedi-results2.txt"
37 individuals
0 categories: 
2 spatial coordinates, X, Y
970 loci: loc10_pos77,....... , loc15259_pos77
2 digits per allele
Max ploidy announced: 2
# indiv within each ploidy:  2x=37

# groups (min - max # indiv per group): 
  0 categorical groups
  0 spatial groups
  0 spatio-categorical groups

GENE DIVERSITY and ALLELE FREQUENCIES
Locus	Category	Sample size	# missing genotypes (%)	# incomplete genotypes (%)	# of defined gene copies	NA: # alleles	NAe: Effective # alleles (Nielsen et al. 2003)	AR(k=60): Allelic richness (expected number of alleles among 60 gene copies)	He (gene diversity corrected for sample size, Nei 1978)	Ho (observed heterozygosity)	Fi (individual inbreeding coefficient)	Pval(Fi<>0) after 199 randomization of gene copies among individuals
Multilocus average													
Multilocus average	All categories confounded	37	2.7 (7.3%)	0.0 (0.0%)	68.6	2.00	1.36	1.98	0.2249	0.089	0.608	0.0000	
loc10_pos77														loc10_pos77 alleles:	1	2
loc10_pos77	All categories confounded	37	2 (5.4%)	0 (0.0%)	70	2	1.26	2.00	0.2054	0.057	0.725	0.0000		frequency	0.885714	0.114286
loc42_pos11														loc42_pos11 alleles:	1	2
loc42_pos11	All categories confounded	37	5 (13.5%)	0 (0.0%)	64	2	1.33	2.00	0.2455	0.031	0.874	0.0000		frequency	0.859375	0.140625
loc64_pos193														loc64_pos193 alleles:	1	2
loc64_pos193	All categories confounded	37	2 (5.4%)	0 (0.0%)	70	2	1.06	1.98	0.0563	0.000	1.000	0.0250		frequency	0.971429	0.0285714
loc73_pos30														loc73_pos30 alleles:	1	2
loc73_pos30	All categories confounded	37	0 (0.0%)	0 (0.0%)	74	2	1.18	2.00	0.1511	0.162	-0.075	0.8050		frequency	0.918919	0.0810811
loc78_pos75														loc78_pos75 alleles:	1	2
loc78_pos75	All categories confounded	37	0 (0.0%)	0 (0.0%)	74	2	1.09	1.99	0.0789	0.027	0.660	0.0500		frequency	0.959459	0.0405405
loc87_pos79														loc87_pos79 alleles:	1	2
loc87_pos79	All categories confounded	37	0 (0.0%)	0 (0.0%)	74	2	1.12	2.00	0.1037	0.054	0.482	0.0800		frequency	0.945946	0.0540541
loc121_pos34														loc121_pos34 alleles:	1	2
loc121_pos34	All categories confounded	37	1 (2.7%)	0 (0.0%)	72	2	1.12	2.00	0.1064	0.000	1.000	0.0000		frequency	0.0555556	0.944444
loc124_pos75														loc124_pos75 alleles:	1	2
loc124_pos75	All categories confounded	37	1 (2.7%)	0 (0.0%)	72	2	1.15	2.00	0.1311	0.028	0.790	0.0000		frequency	0.0694444	0.930556
